-- BATHTUBS --,Description,Finish,Model #,List Price,Vendor,Mult.,Specs,Images,ImageFormula,RETURN TO TABLE OF CONTENTS
Kohler Underscore 66x36x22 (Acrylic / Undermount or Drop-In / LH or RH),"Underscore® acrylic drop-in bath
- Nominal Size: 66"" x 36"" x 22""
- Bathing Well: 44 1/2"" x 26 1/2"" x 17 3/4"""" 
- 102 gallon capacity
- Requires Clearflo slotted drain (K-7272)
- Undermount installation kit (K-591)
- Therapy systems Available",White,K-1136-0,"$1,558.00",Granite Group,0.6,https://www.us.kohler.com/us/underscore-rectangle-66-x-36-drop-in-bath-with-end-drain/productDetail/bathing/426401.htm?skuId=401135&brandId=656492,,"=IMAGE(""https://kohler.scene7.com/is/image/PAWEB/Category_Template?$PDPcon$&$gradient_src=PAWEB%2Forganic-gradient&$shadow_src=PAWEB%2FBlank&$Badge1_src=PAWEB%2FBlank&$Badge4_src=PAWEB%2FBlank&$Badge3_src=PAWEB%2FBlank&$Badge2_src=PAWEB%2FBlank&$product_src=is{PAWEB%2Fzaa87042_rgb}&fmt"",1)",
Kohler Underscore Oval 60x36x22 (Acrylic / Freestanding Oval / Center),"Underscore® Oval acrylic freestanding bath with deck space for faucet installation | Nominal Size: 60"" x 36"" x 22"" | Bathing Well: 43"" x 25 5/8"" x 16 5/16"" (72 gallon capacity); Requires Clearflo slotted drain (K-7272); Therapy systems available",White,K-5701-0,"$3,690.70",Granite Group,0.6,https://www.us.kohler.com/us/underscore-oval-60-x-36-freestanding-bath/productDetail/bathing/1100347.htm?skuId=1100283&brandId=656492,,"=IMAGE(""https://kohler.scene7.com/is/image/PAWEB/Category_Template?$PDPcon$&$gradient_src=PAWEB%2Forganic-gradient&$shadow_src=PAWEB%2FBlank&$Badge1_src=PAWEB%2FBlank&$Badge4_src=PAWEB%2FBlank&$Badge3_src=PAWEB%2FBlank&$Badge2_src=PAWEB%2FBlank&$product_src=is{PAWEB%2Fzab78293_rgb}"",1)",
Kohler Underscore 72x36x23 (Acrylic / Undermount or Drop-in / Center),"Underscore® acrylic undermount or drop-in bath
- Center drain
- Nominal Size: 72"" x 36"" x 23""
- Bathing Well: 45 3/4"" x 25 15/16"" x 19 7/16""
- 112.9 gallon capacity
- Requires ClearFlo bath drain (K-7272)
- Requires undermount kit (K-593)
- Therapy options available",White,K-1834-0,"$1,811.55",Granite Group,0.6,https://www.us.kohler.com/us/underscore-rectangle-72-x-36-drop-in-bath-with-center-drain/productDetail/bathing/429124.htm?skuId=415250&brandId=656492,,"=IMAGE(""https://kohler.scene7.com/is/image/PAWEB/Category_Template?$PDPcon$&$gradient_src=PAWEB%2Forganic-gradient&$shadow_src=PAWEB%2FBlank&$Badge1_src=PAWEB%2FBlank&$Badge4_src=PAWEB%2FBlank&$Badge3_src=PAWEB%2FBlank&$Badge2_src=PAWEB%2FBlank&$product_src=is{PAWEB%2Fzab02156_rgb}"",1)",
Kohler Underscore 72x42x23 (Acrylic / Undermount or Drop-in / Center),"Underscore® acrylic undermount or drop-in bath
- Center drain
- Nominal Size: 72"" x 42"" x 23""
- Bathing Well: 45 3/4"" x 32"" x 19""
- 139 gallon capacity
- Requires ClearFlo bath drain (K-7272)
- Requires undermount kit (K-592)
- Therapy options available",White,K-1137-0,"$1,858.00",Granite Group,0.6,https://www.us.kohler.com/us/underscore-rectangle-72-x-42-drop-in-bath-with-center-drain/productDetail/bathing/426402.htm?skuId=401151&brandId=656492,,"=IMAGE(""https://kohler.scene7.com/is/image/PAWEB/Category_Template?$PDPcon$&$gradient_src=PAWEB%2Forganic-gradient&$shadow_src=PAWEB%2FBlank&$Badge1_src=PAWEB%2FBlank&$Badge4_src=PAWEB%2FBlank&$Badge3_src=PAWEB%2FBlank&$Badge2_src=PAWEB%2FBlank&$product_src=is{PAWEB%2Fzaa68539_rgb}"",1)",
Kohler Veil 66x36x25 (Lithocast / Freestanding),"Veil™ Lithocast® Gloss cast resin freestanding bath
- Nominal Size: 66"" x 36"" x 25 1/2""
- Bathing Well: 46 9/16"" x 22 3/8"" x 15 7/8""
- 84.29 gal capacity
- Includes center toe-tap drain with matching cover",White,K-8331-0,"$6,198.00",Granite Group,0.6,https://www.us.kohler.com/us/veil-66-x-36-freestanding-bath-with-center-toe-tap-drain/productDetail/bathing/1284613.htm?skuId=1284591&brandId=1348405,,"=IMAGE(""https://kohler.scene7.com/is/image/PAWEB/Category_Template?$PDPcon$&$gradient_src=PAWEB%2Forganic-gradient&$shadow_src=PAWEB%2FBlank&$Badge1_src=PAWEB%2FBlank&$Badge4_src=PAWEB%2FBlank&$Badge3_src=PAWEB%2FBlank&$Badge2_src=PAWEB%2FBlank&$product_src=is{PAWEB%2Fzac28844_rgb}"",1)",
Kohler Villager 60x34x14 (Cast Iron / Alcove / LH),"Villager® enameled cast iron alcove bath with integral apron and left-hand drain | Nominal Size: 60"" x 34 1/4"" x 14"" | Bathing Well: 45"" x 22"" x 8 5/8"" (33 gallon capacity); Requires ClearFlo cable drain (K-7213)",White,K-713-0,$821.20,Granite Group,0.6,https://www.us.kohler.com/us/villager-60-x-34-alcove-bath-with-left-hand-drain/productDetail/bathing/419714.htm,,"=IMAGE(""https://kohler.scene7.com/is/image/PAWEB/Category_Template?$PDPcon$&$gradient_src=PAWEB%2Forganic-gradient&$shadow_src=PAWEB%2FBlank&$Badge1_src=PAWEB%2FBlank&$Badge4_src=PAWEB%2FBlank&$Badge3_src=PAWEB%2FBlank&$Badge2_src=PAWEB%2FBlank&$product_src=is{PAWEB%2Fzaa57457_rgb}"",1)",
Kohler Villager 60x34x14 (Cast Iron / Alcove / RH),"Villager® enameled cast iron alcove bath with integral apron and right-hand drain | Nominal Size: 60"" x 34 1/4"" x 14"" | Bathing Well: 45"" x 22"" x 8 5/8"" (33 gallon capacity); Requires ClearFlo cable drain (K-7213)",White,K-714-0,$821.20,Granite Group,0.6,https://www.us.kohler.com/us/villager-60-x-34-alcove-bath-with-right-hand-drain/productDetail/bathing/419715.htm,,"=IMAGE(""https://kohler.scene7.com/is/image/PAWEB/Category_Template?$PDPcon$&$gradient_src=PAWEB%2Forganic-gradient&$shadow_src=PAWEB%2FBlank&$Badge1_src=PAWEB%2FBlank&$Badge4_src=PAWEB%2FBlank&$Badge3_src=PAWEB%2FBlank&$Badge2_src=PAWEB%2FBlank&$product_src=is{PAWEB%2Fzaa63114_rgb}"",1)",
Maax Ariosa 60x32x28 (Acrylic / Freestanding / End),"Ariosa acrylic asymmetrical freestanding bath with deck space for faucet | Nominal Size: 60″ X 32″ X 28″ | Bathing Well: 37 3/4"" x 18 3/8"" x 14 3/4"" (46 gallon capacity); Requires F2 Drain kit (10034341) and linear drain trim (10037670)",White,106266-000-001,"$2,250.00",Robinson,0.6,https://maax.com/en/product/ariosa-6032_106266,,"=IMAGE(""https://abgprdcdn-maax.azureedge.net/-/media/productassets/maax/106266/images/maax-mx106266-001-2.jpg?h=672&w=800&v=1&d=20171018T234113Z&hash=A71A3436CA6179DF6DB753DF5CCDF0A16FCA649E"",1)",
Maax Ariosa 66x36x28 (Acrylic / Freestanding),"Ariosa acrylic freestanding bath with deck space for faucet | Nominal Size: 66"" x 36"" x 28"" | Bathing Well: 41 1/8"" x 18 3/8"" x 15 3/4"" (56 gal capacity); Requires F2 drain kit (10034341) and positioning template (10034336)",White,106267-000-001,"$2,588.00",Robinson,0.6,https://maax.com/en/product/ariosa-6636_106267,,"=IMAGE(""https://abgprdcdn-maax.azureedge.net/-/media/productassets/maax/106267/images/maax-mx106267-001-2.jpg?h=672&w=800&v=1&d=20171018T234145Z&hash=E1FD6161458EDAC61F5B343A2A04FB168778DCEA"",1)",
Maax Bosca 60x30x18 (Acrylic / Alcove / LH),"Bosca IFS acrylic bath with integral apron, integral flange
- Left-hand drain
- Nominal Size: 60"" x 30"" x 18""
- Bathing Well: 54 3/4"" x 23 3/8"" x 16 3/4""
- 54 gallon capacity
- Requires separate drain (10022491)",White,106394-L-000-001,$921.00,Robinson,0.6,https://maax.com/en/product/bosca-6030-ifs_106394,,"=IMAGE(""https://maax.com/-/media/productassets/maax/106394/images/maax-mx106394-001-2.jpg"",1)",
